District,Latitude,Longitude,Average House Price (IDR),Crime Rate (Percent)
Pabean Cantian,-7.2165,112.7329,"2,200,000,000",3.671780094504
Mulyorejo,-7.2634,112.7831,"2,600,000,000",3.258058393715
Krembangan,-7.2384,112.7312,"1,800,000,000",3.395965627312
Pakal,-7.2357,112.6085,"1,500,000,000",3.344250414713
Sambikerep,-7.2743,112.6536,"6,183,000,000",3.378727223112
Simokerto,-7.2386,112.7539,"2,000,000,000",3.844164136500
Dukuh Pakis,-7.2812,112.6846,"3,000,000,000",3.258058393715
Jambangan,-7.3241,112.7133,"1,600,000,000",3.309773606314
Tambaksari,-7.2511,112.7676,"2,100,000,000",3.689018498704
Wiyung,-7.3116,112.6879,"2,750,000,000",3.154627968518
Bubutan,-7.2463,112.7336,"3,500,000,000",3.516634456708
Benowo,-7.2507,112.6461,"800,000,000",2.913290309724
Kenjeran,-7.2354,112.7912,"2,600,000,000",2.827098288726
Bulak,-7.241,112.7951,"1,800,000,000",2.999482330722
Tenggilis Mejoyo,-7.3204,112.758,"3,500,000,000",2.792621480327
Sukolilo,-7.3008,112.7792,"3,000,000,000",2.861575097125
Gubeng,-7.2782,112.7559,"2,750,000,000",2.568522225733
Gunung Anyar,-7.3386,112.7682,"800,000,000",2.620237438332
Semampir,-7.2143,112.7516,"2,200,000,000",3.085674351720
Sawahan,-7.2693,112.7167,"2,500,000,000",2.913290309724
Karang Pilang,-7.3336,112.7029,"1,600,000,000",3.068435947520
Gayungan,-7.332,112.7256,"7,500,000,000",3.068435947520
Tandes,-7.2573,112.6685,"1,300,000,000",3.068435947520
Lakarsantri,-7.3062,112.6615,"5,000,000,000",2.965005522323
Wonocolo,-7.317,112.7377,"2,500,000,000",2.706429459330
Genteng,-7.2582,112.7491,"2,750,000,000",3.309773606314
Asemrowo,-7.2534,112.705,"1,800,000,000",3.309773606314
Rungkut,-7.3222,112.7811,"2,100,000,000",4.102740199493
Wonokromo,-7.3007,112.7398,"2,800,000,000",3.826925732300
Suko Manunggal,-7.2689,112.6935,"1,800,000,000",3.482157648309
Tegalsari,-7.2758,112.7346,"2,750,000,000",3.689018498704
